a15a

"Oriola, Joaquim von (1772- 1846)"
"Oriola, Joaquim von (1772-1846)"
"Osiander, Friedrich Benjamin (1759-1822) ?"
"Osiander, Johann Friedrich (1787-1855)"
"Ostertag, Johann Philipp (1734-1801)"
"Otto, ? (????-????)"
"Parry, Charles Henry (1779-1860)"
"Parry, George Frederic (1783- 1804)"
"Pataki II, Samuel (1731-1804)"
"Petri, ? (????-????)"
"Prins, ? (????-????)"
"Prinz zur Lippe, Friedrich (1797-1854)"
"Recke, Elisa von der (1754-1833)"
"Recke, Johann Friedrich von (1764-1846)"
"Reden, Claus Friedrich von (1736-1791)"
"Reichenbach, Heinrich Gottlieb Ludwig (1793-1879)"
"Reineggs, Jacob (1744-1793)"
"Reinwardt, Caspar Georg Carl (1773-1854)"
"Rhédey, Ádám, Graf von Kisréde (1768-1849)"
"Ribbentrop, Heinrich Gottlieb (1776-1834)"
"Roesslein, Johannes (1747-????)"
"Roloff, Johann Christoph Heinrich (1783-1825) ?"
"Rothe, Tyge Jesper (1731-1795)"
"Röntgen, Gottfried Leonhard August (1781-1865)"
"Saldern, Caspar von (1711-1786)"
"Sanden, ? (????-????)"
"Schedemeyer, ? (????-????) [Amtmann]"
"Scheel, Paul (1773-1811)"
"Schenck, Friedrich Wilhelm (????-1798)"
"Schilling, ? (????-????)"
"Schlotheim, Ernst Friedrich von (1764-1832)"
"Schmidt, ? (????-????)"
"Schnizlein, Johann Georg Christoph (1721-1811)"
"Scholz, Johann Martin Augustin (1794-1852)"
"Schreibers, Karl von (1775-1852)"
"Seckendorff, Christian Adolf von (1767-1833)"
"Severgin, Vasilij Michajlovič (1765-1826)"
"Sickler, Friedrich (1773-1836)"
"Soemmering, Samuel Thomas von (1755-1830)"
"Spitta, Heinrich (1799-1860)"
"Sporleder, Friedrich Wilhelm (1787-1875)"
"Stackemann, ? (????-????)"
"Stelzner, Georg Andreas (1725- 1802)"
"Stelzner, Georg Andreas (1725-1802)"
"Stephan, J[?] J[?] (????-????)"
"Strauss, Johann Samuel (????-????)"
"Strombeck, Friedrich Karl von (1771-1848)"
